Local;Codigo 1000;Artigo;Metragem
RUA B COLUNA 36 GAVETA 06;1000996332;28 01 1111;84,59
RUA B COLUNA 36 GAVETA 06;1000996331;28 01 1111;84,15
RUA B COLUNA 36 GAVETA 06;1000993828;28 01 1111;98,51
RUA B COLUNA 36 GAVETA 06;1000993829;28 01 1111;98,96
RUA B COLUNA 36 GAVETA 06;1000993839;28 01 1111;102,05
RUA B COLUNA 36 GAVETA 06;1000996330;28 01 1111;99,1
RUA B COLUNA 36 GAVETA 06;1000996211;28 01 1111;98,73
RUA C COLUNA 03 GAVETA 06;1000996707;28 01 1111;68,34
RUA C COLUNA 03 GAVETA 06;1000996709;28 01 1111;104,14
RUA C COLUNA 03 GAVETA 06;1000996711;28 01 1111;99,09
RUA C COLUNA 03 GAVETA 06;1000996710;28 01 1111;99,32
RUA C COLUNA 03 GAVETA 06;1000996708;28 01 1111;103,98
RUA C COLUNA 03 GAVETA 06;1000996703;28 01 1111;97,4
RUA C COLUNA 03 GAVETA 06;1000996705;28 01 1111;97,69
RUA C COLUNA 03 GAVETA 06;1000996706;28 01 1111;97,84
RUA C COLUNA 03 GAVETA 06;1000996704;28 01 1111;97,84
RUA C COLUNA 05 GAVETA 02;1000995932;28 01 1111;98,23
RUA C COLUNA 05 GAVETA 02;1000995938;28 01 1111;104,18
RUA C COLUNA 05 GAVETA 02;1000995935;28 01 1111;100,93
RUA C COLUNA 05 GAVETA 02;1000995936;28 01 1111;97,54
RUA C COLUNA 05 GAVETA 02;1000995934;28 01 1111;100,72
RUA C COLUNA 05 GAVETA 02;1000995933;28 01 1111;101,13
RUA C COLUNA 05 GAVETA 02;1000995931;28 01 1111;101,24
RUA C COLUNA 05 GAVETA 02;1000995937;28 01 1111;78,05
RUA C COLUNA 05 GAVETA 02;1000995939;28 01 1111;104,46
RUA C COLUNA 13 GAVETA 05;1000996140;28 01 1111;97,19
RUA C COLUNA 13 GAVETA 05;1000996142;28 01 1111;96,92
RUA C COLUNA 13 GAVETA 05;1000996141;28 01 1111;97,01
RUA C COLUNA 13 GAVETA 05;1000996144;28 01 1111;96,7
RUA C COLUNA 13 GAVETA 05;1000996139;28 01 1111;97,39
RUA C COLUNA 13 GAVETA 05;1000996137;28 01 1111;96,95
RUA C COLUNA 13 GAVETA 05;1000996136;28 01 1111;97,2
RUA C COLUNA 13 GAVETA 05;1000996138;28 01 1111;97,08
RUA C COLUNA 13 GAVETA 05;1000996143;28 01 1111;96,63
RUA C COLUNA 26 GAVETA 07;1000996085;28 01 1111;100,85
RUA C COLUNA 26 GAVETA 07;1000996084;28 01 1111;101,1
RUA C COLUNA 26 GAVETA 07;1000996090;28 01 1111;102,22
RUA C COLUNA 26 GAVETA 07;1000996088;28 01 1111;102,5
RUA C COLUNA 26 GAVETA 07;1000996086;28 01 1111;100,81
RUA C COLUNA 26 GAVETA 07;1000996091;28 01 1111;95,65
RUA C COLUNA 26 GAVETA 07;1000996087;28 01 1111;100,55
RUA C COLUNA 26 GAVETA 07;1000996092;28 01 1111;95,37
RUA C COLUNA 26 GAVETA 07;1000996089;28 01 1111;102,49
RUA C COLUNA 31 GAVETA 07;1000993622;28 01 1111;102,32
RUA C COLUNA 31 GAVETA 07;1000993627;28 01 1111;97,93
RUA C COLUNA 31 GAVETA 07;1000993625;28 01 1111;102,61
RUA C COLUNA 31 GAVETA 07;1000993621;28 01 1111;105,83
RUA C COLUNA 31 GAVETA 07;1000977462;28 01 1111;101,08
RUA C COLUNA 31 GAVETA 07;1000993628;28 01 1111;22,92
RUA C COLUNA 31 GAVETA 07;1000993623;28 01 1111;93,83
RUA C COLUNA 31 GAVETA 07;1000993620;28 01 1111;104,41
RUA D COLUNA 02 GAVETA 01;1000996095;28 01 1111;95,54
RUA D COLUNA 02 GAVETA 01;1000996096;28 01 1111;95,59
RUA D COLUNA 02 GAVETA 01;1000996100;28 01 1111;90,99
RUA D COLUNA 02 GAVETA 01;1000996101;28 01 1111;45,45
RUA D COLUNA 02 GAVETA 01;1000996093;28 01 1111;95,63
RUA D COLUNA 02 GAVETA 01;1000996094;28 01 1111;95,43
RUA D COLUNA 02 GAVETA 01;1000996099;28 01 1111;95,45
RUA D COLUNA 02 GAVETA 01;1000996097;28 01 1111;95,57
RUA D COLUNA 02 GAVETA 01;1000996098;28 01 1111;95,41
RUA D COLUNA 02 GAVETA 06;1000985487;28 01 1111;96,98
RUA D COLUNA 02 GAVETA 06;1000989421;28 01 1111;103,32
RUA D COLUNA 02 GAVETA 06;1000985481;28 01 1111;96,69
RUA D COLUNA 02 GAVETA 06;1000981464;28 01 1111;96,79
RUA D COLUNA 02 GAVETA 06;1000989419;28 01 1111;103,39
RUA D COLUNA 02 GAVETA 06;1000976465;28 01 1111;98,56
RUA D COLUNA 02 GAVETA 06;1000976463;28 01 1111;98,38
RUA D COLUNA 02 GAVETA 06;1000976464;28 01 1111;98,69
RUA D COLUNA 13 GAVETA 07;1000995902;28 01 1111;96,81
RUA D COLUNA 13 GAVETA 07;1000995903;28 01 1111;96,63
RUA D COLUNA 13 GAVETA 07;1000995904;28 01 1111;96,68
RUA D COLUNA 13 GAVETA 07;1000995907;28 01 1111;96,9
RUA D COLUNA 13 GAVETA 07;1000995906;28 01 1111;96,87
RUA D COLUNA 13 GAVETA 07;1000995900;28 01 1111;96,56
RUA D COLUNA 13 GAVETA 07;1000995899;28 01 1111;96,72
RUA D COLUNA 13 GAVETA 07;1000995901;28 01 1111;96,7
RUA D COLUNA 16 GAVETA 07;1000995896;28 01 1111;100,24
RUA D COLUNA 16 GAVETA 07;1000995894;28 01 1111;100,87
RUA D COLUNA 16 GAVETA 07;1000995891;28 01 1111;102,69
RUA D COLUNA 16 GAVETA 07;1000995895;28 01 1111;100,4
RUA D COLUNA 16 GAVETA 07;1000995893;28 01 1111;101,39
RUA D COLUNA 16 GAVETA 07;1000995897;28 01 1111;97,09
RUA D COLUNA 16 GAVETA 07;1000995898;28 01 1111;96,92
RUA D COLUNA 16 GAVETA 07;1000995890;28 01 1111;101,41
RUA D COLUNA 16 GAVETA 07;1000995892;28 01 1111;102,17
RUA D COLUNA 27 GAVETA 04;1000995148;28 01 1111;93,04
RUA D COLUNA 31 GAVETA 04;1000996714;28 01 1111;99,31
RUA D COLUNA 31 GAVETA 04;1000996715;28 01 1111;90,27
RUA D COLUNA 31 GAVETA 04;1000996719;28 01 1111;103,51
RUA D COLUNA 31 GAVETA 04;1000996718;28 01 1111;106,13
RUA D COLUNA 31 GAVETA 04;1000996720;28 01 1111;104,49
RUA D COLUNA 31 GAVETA 04;1000996713;28 01 1111;99,23
RUA D COLUNA 31 GAVETA 04;1000996717;28 01 1111;104,56
RUA D COLUNA 31 GAVETA 04;1000996716;28 01 1111;104,2
RUA D COLUNA 31 GAVETA 04;1000996721;28 01 1111;104,41
RUA E COLUNA 15 GAVETA 03;1000947790;28 01 1111;96,96
RUA E COLUNA 15 GAVETA 03;1000977203;28 01 1111;100,66
RUA E COLUNA 15 GAVETA 03;1000951366;28 01 1111;100,1
RUA E COLUNA 19 GAVETA 04;1000996252;28 01 1111;97,81
RUA E COLUNA 19 GAVETA 04;1000996254;28 01 1111;97,89
RUA E COLUNA 19 GAVETA 04;1000996256;28 01 1111;97,6
RUA E COLUNA 19 GAVETA 04;1000996250;28 01 1111;104,01
RUA E COLUNA 19 GAVETA 04;1000996255;28 01 1111;97,69
RUA E COLUNA 19 GAVETA 04;1000996253;28 01 1111;96,35
RUA E COLUNA 23 GAVETA 02;1000996249;28 01 1111;104,1
RUA E COLUNA 23 GAVETA 02;1000996248;28 01 1111;104,25
RUA E COLUNA 23 GAVETA 02;1000996247;28 01 1111;104,01
RUA E COLUNA 23 GAVETA 02;1000996246;28 01 1111;104,13
RUA E COLUNA 23 GAVETA 02;1000996245;28 01 1111;99,66
RUA E COLUNA 23 GAVETA 02;1000996244;28 01 1111;107,75
RUA E COLUNA 42 GAVETA 04;1000995968;28 01 1111;100,02
RUA E COLUNA 42 GAVETA 04;1000995977;28 01 1111;100,03
RUA E COLUNA 42 GAVETA 04;1000995978;28 01 1111;99,85
RUA E COLUNA 42 GAVETA 04;1000995908;28 01 1111;96,55
RUA E COLUNA 42 GAVETA 04;1000995980;28 01 1111;69,37
RUA E COLUNA 42 GAVETA 04;1000995979;28 01 1111;99,83
RUA E COLUNA 42 GAVETA 04;1000995909;28 01 1111;92,75
RUA F COLUNA 11 GAVETA 04;1000996215;28 01 1111;98,63
RUA F COLUNA 11 GAVETA 04;1000996216;28 01 1111;98,6
RUA F COLUNA 11 GAVETA 04;1000996218;28 01 1111;89,22
RUA F COLUNA 11 GAVETA 04;1000996220;28 01 1111;65,34
RUA F COLUNA 11 GAVETA 04;1000996219;28 01 1111;96,95
RUA F COLUNA 11 GAVETA 04;1000996214;28 01 1111;98,68
RUA F COLUNA 11 GAVETA 04;1000996213;28 01 1111;98,75
RUA F COLUNA 11 GAVETA 04;1000996212;28 01 1111;98,64
RUA F COLUNA 11 GAVETA 04;1000996217;28 01 1111;98,58
RUA F COLUNA 12 GAVETA 04;1000969099;28 01 1111;77,01
RUA F COLUNA 12 GAVETA 04;1000986518;28 01 1111;101,46
RUA F COLUNA 12 GAVETA 04;1000983171;28 01 1111;98,75
RUA F COLUNA 12 GAVETA 04;1000986523;28 01 1111;104,55
RUA F COLUNA 12 GAVETA 04;1000995149;28 01 1111;33,03
RUA F COLUNA 12 GAVETA 04;1000986519;28 01 1111;104,79
RUA F COLUNA 12 GAVETA 04;1000976748;28 01 1111;97,63
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983762;28 01 1120;106,47
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983261;28 01 1120;97,09
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983262;28 01 1120;97,27
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983707;28 01 1120;104,37
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983706;28 01 1120;103,41
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983263;28 01 1120;97,13
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983764;28 01 1120;98,96
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983765;28 01 1120;97,29
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983766;28 01 1120;102,71
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983767;28 01 1120;102,49
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983705;28 01 1120;103,47
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983260;28 01 1120;97,18
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983259;28 01 1120;98,91
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983210;28 01 1120;103,25
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983704;28 01 1120;103,38
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983703;28 01 1120;103,4
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983702;28 01 1120;103,65
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983211;28 01 1120;83,18
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983258;28 01 1120;104,33
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983700;28 01 1120;101,2
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983252;28 01 1120;104,56
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983770;28 01 1120;97,55
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983257;28 01 1120;105,13
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983422;28 01 1120;103,41
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983214;28 01 1120;99,91
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983213;28 01 1120;99,81
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983212;28 01 1120;100,92
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983206;28 01 1120;102,87
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983207;28 01 1120;102,96
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983208;28 01 1120;102,99
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983771;28 01 1120;78,57
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983768;28 01 1120;102,49
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983209;28 01 1120;103
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983248;28 01 1120;88,55
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983247;28 01 1120;100,12
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983246;28 01 1120;100,27
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983245;28 01 1120;100,57
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983244;28 01 1120;100,36
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983254;28 01 1120;104,25
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983253;28 01 1120;103,94
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983250;28 01 1120;105,28
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983769;28 01 1120;102,38
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983701;28 01 1120;104,64
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983256;28 01 1120;104,08
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983450;28 01 1120;100,52
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983699;28 01 1120;86,23
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983429;28 01 1120;101,77
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983426;28 01 1120;104,23
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983430;28 01 1120;101,69
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983427;28 01 1120;104,08
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983449;28 01 1120;100,58
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000958191;28 01 1120;96,16
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000958186;28 01 1120;103,75
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983255;28 01 1120;103,28
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983428;28 01 1120;88,45
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000958185;28 01 1120;103,73
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983453;28 01 1120;100,48
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983452;28 01 1120;100,51
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983451;28 01 1120;100,35
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000958174;28 01 1120;97,37
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983425;28 01 1120;104,42
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983444;28 01 1120;97
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983442;28 01 1120;97,28
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000958192;28 01 1120;96,58
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000958173;28 01 1120;102,57
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000958176;28 01 1120;62,18
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983445;28 01 1120;97,11
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983446;28 01 1120;100,51
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983423;28 01 1120;105,32
DEPOSITO DE PALETES VAZIOS DEPOSITO 01 DEPOSITO 01;1000983424;28 01 1120;104,89
RUA A COLUNA 11 GAVETA 07;1000958749;28 01 1120;97,18
RUA A COLUNA 11 GAVETA 07;1000958752;28 01 1120;96,97
RUA A COLUNA 11 GAVETA 07;1000958744;28 01 1120;101,33
RUA A COLUNA 11 GAVETA 07;1000958746;28 01 1120;101,08
RUA A COLUNA 11 GAVETA 07;1000983087;28 01 1120;95,28
RUA A COLUNA 11 GAVETA 07;1000958745;28 01 1120;101,05
RUA A COLUNA 11 GAVETA 07;1000958747;28 01 1120;96,99
RUA A COLUNA 11 GAVETA 07;1000958750;28 01 1120;97,12
RUA A COLUNA 11 GAVETA 07;1000958751;28 01 1120;96,93
RUA A COLUNA 17 GAVETA 02;1000957741;28 01 1120;98,09
RUA A COLUNA 17 GAVETA 02;1000957743;28 01 1120;99,71
RUA A COLUNA 17 GAVETA 02;1000957744;28 01 1120;99,87
RUA A COLUNA 17 GAVETA 02;1000957748;28 01 1120;99,81
RUA A COLUNA 17 GAVETA 02;1000957747;28 01 1120;99,8
RUA A COLUNA 17 GAVETA 02;1000957745;28 01 1120;99,98
RUA A COLUNA 17 GAVETA 02;1000957742;28 01 1120;101,99
RUA A COLUNA 17 GAVETA 02;1000957749;28 01 1120;99,66
RUA A COLUNA 17 GAVETA 02;1000957746;28 01 1120;99,95
RUA A COLUNA 20 GAVETA 06;1000958193;28 01 1120;73,24
RUA A COLUNA 22 GAVETA 08;1000919437;28 01 1120;31
RUA A COLUNA 22 GAVETA 08;1000919439;28 01 1120;70,8
RUA A COLUNA 22 GAVETA 08;1000919442;28 01 1120;89,5
RUA A COLUNA 22 GAVETA 08;1000919443;28 01 1120;83,6
RUA A COLUNA 28 GAVETA 02;1000957836;28 01 1120;91,03
RUA A COLUNA 28 GAVETA 02;1000958958;28 01 1120;101,02
RUA A COLUNA 28 GAVETA 02;1000986459;28 01 1120;95,02
RUA A COLUNA 28 GAVETA 02;1000986460;28 01 1120;51,91
RUA A COLUNA 28 GAVETA 02;1000957835;28 01 1120;95,9
RUA A COLUNA 28 GAVETA 02;1000957833;28 01 1120;95,93
RUA A COLUNA 28 GAVETA 02;1000957834;28 01 1120;95,89
RUA A COLUNA 28 GAVETA 07;1000983238;28 01 1120;100,14
RUA A COLUNA 28 GAVETA 07;1000983239;28 01 1120;100,3
RUA A COLUNA 28 GAVETA 07;1000983240;28 01 1120;100,18
RUA A COLUNA 28 GAVETA 07;1000983241;28 01 1120;101,61
RUA A COLUNA 28 GAVETA 07;1000983236;28 01 1120;99,91
RUA A COLUNA 28 GAVETA 07;1000983243;28 01 1120;100,26
RUA A COLUNA 28 GAVETA 07;1000983235;28 01 1120;99,38
RUA A COLUNA 28 GAVETA 07;1000983242;28 01 1120;100,46
